PassengerId,Survived_pred,Survived_prob
892,0,0.10575062022297063
893,0,0.37791045893042047
894,0,0.08803413065092494
895,0,0.1045396663057754
896,1,0.5806205276021401
897,0,0.1581730301053565
898,1,0.6843984448070594
899,0,0.1546404293217142
900,1,0.7853528876833422
901,0,0.07053275242185914
902,0,0.1008544226382915
903,0,0.23516423111854518
904,1,0.9490681016667633
905,0,0.04980559236280537
906,1,0.6756137372554201
907,1,0.8324740255350738
908,0,0.2070994123523557
909,0,0.17390888506764418
910,1,0.558230929962221
911,1,0.5779128626287823
912,0,0.20857874391867792
913,0,0.16392007739677755
914,1,0.9045294416756974
915,1,0.5407197919284971
916,1,0.9573892883780687
917,0,0.03493907559468376
918,1,0.970517042742112
919,0,0.16620307445634735
920,0,0.41144669707947756
921,0,0.07820217614658814
922,0,0.07760885064545403
923,0,0.13425039241537987
924,0,0.4632116080820538
925,1,0.5120145576030187
926,0,0.3486069224958927
927,0,0.18737710037892158
928,1,0.6362293054800556
929,1,0.6935422425941765
930,0,0.1119435843384356
931,0,0.12345573318443723
932,0,0.091491343883271
933,1,0.5241711434964171
934,0,0.0653000471374229
935,1,0.785640033710525
936,1,0.8792045118345863
937,0,0.11121222376068474
938,0,0.4676842378076954
939,0,0.1302617641791765
940,1,0.9079478424555293
941,1,0.5205725868217671
942,1,0.5095490938974865
943,0,0.27876553107656216
944,1,0.7061730589323161
945,1,0.8256375698635304
946,0,0.27201168284436356
947,0,0.0631010090743266
948,0,0.07998178626133345
949,0,0.11018244791096245
950,0,0.07514597948079907
951,1,0.9826082892202131
952,0,0.14340120608189325
953,0,0.17979993767165378
954,0,0.13890551760299155
955,1,0.7437859700514116
956,1,0.8006584072662847
957,1,0.8036279301880593
958,1,0.7706664789734116
959,0,0.24251197290216067
960,1,0.5926101739769507
961,1,0.7088056275080215
962,1,0.7296898084822185
963,0,0.1264256181522094
964,1,0.6276260240929039
965,1,0.6134767646387006
966,1,0.978799488382076
967,1,0.7644496643105391
968,0,0.1009199449739243
969,1,0.8884928749920405
970,0,0.19042703444531067
971,1,0.7296898084822185
972,0,0.19053624945946085
973,0,0.31662424709766523
974,0,0.21609175458668975
975,0,0.1008544226382915
976,0,0.2506099952727374
977,0,0.10526891733897563
978,1,0.7077420159729235
979,1,0.7156682221946666
980,1,0.7000284923738764
981,0,0.29878905085736074
982,1,0.6092104455582932
983,0,0.10080311894583333
984,1,0.7163656655940089
985,0,0.1009199449739243
986,0,0.49075454363864185
987,0,0.11115241487080207
988,0,0.38267900112087816
989,0,0.09761289297941823
990,1,0.7004307251501732
991,0,0.08556232294341604
992,1,0.9205000473107492
993,0,0.16273780832937235
994,0,0.1302617641791765
995,0,0.1075970246711618
996,1,0.7117685292240132
997,0,0.10724103362804761
