Id,SalePrice
1461,112540.5131035883
1462,147934.8908386169
1463,176207.64984148808
1464,192027.03636137507
1465,188927.3361725479
1466,174549.8783015217
1467,181094.22234290614
1468,160730.47441043757
1469,218914.2732816344
1470,105767.31932228545
1471,184912.08037419902
1472,100190.02206275785
1473,87842.58023924335
1474,144519.21963641254
1475,107685.33223806687
1476,342866.08013274585
1477,238198.37250928258
1478,321482.61045529204
1479,302968.374086869
1480,438686.89589276526
1481,297419.3984509177
1482,214775.50606089493
1483,176104.5741412201
1484,169479.76014247292
1485,208438.88791544107
1486,204186.14315492453
1487,299399.62740709924
1488,233492.6818940702
1489,184976.84307852227
1490,241184.65043503413
1491,197897.04892192126
1492,92114.76931830104
1493,214471.1740546624
1494,285173.94139176054
1495,269105.85393165017
1496,235181.3388250999
1497,169687.11442667406
1498,158399.53710984992
1499,163045.14357275877
1500,153187.58071816858
1501,207717.61606492157
1502,151296.89585088423
1503,278064.18505800795
1504,244889.6730988603
1505,223645.5239988847
1506,193922.3454663866
1507,253905.4823294348
1508,187745.39438026253
1509,163555.1692843295
1510,137274.10616245234
1511,147304.75949989434
1512,181107.8082978767
1513,157734.06690860813
1514,151161.3284704435
1515,204830.2682217622
1516,176042.51644279587
1517,173118.8204885528
1518,135406.83196296942
1519,223906.22131106624
1520,116521.44532389344
1521,116224.50498878112
1522,204660.30994819652
1523,96737.1559148849
1524,121279.03267154082
1525,111108.86894587224
1526,93799.75270071285
1527,95427.29435926984
1528,148365.09550481907
1529,145334.99590767955
1530,221004.55297143076
1531,146732.77123355094
1532,111907.43007097485
1533,146362.26652663288
1534,130958.52089009486
1535,150617.54388723153
1536,103179.49875644376
1537,39042.991565801785
1538,164478.41467249772
1539,218954.56002665713
1540,122583.43020360795
1541,137183.0046874681
1542,130470.92092244596
1543,181579.02240245562
1544,87842.46691681512
1545,120860.49540829548
1546,128804.69865663607
1547,134215.3680451549
1548,139580.3230813029
1549,118665.8715194042
1550,129554.06236999837
1551,122787.16915665113
1552,149736.17382244652
1553,159982.6557254241
1554,113639.82334534748
1555,147626.63508589688
1556,88040.51444868988
1557,91839.86753584357
1558,96652.39628176669
1559,82012.58077856703
1560,139551.19291757437
1561,120522.51272450785
1562,123634.20845105885
1563,122410.80362468933
1564,148808.5991148909
1565,150538.0624834469
1566,241492.0710354644
1567,75816.99335306234
1568,225413.76509369473
1569,112727.64488400868
1570,159309.06853930684
1571,111276.91772663483
1572,145872.22591653906
1573,253576.4458337101
1574,127403.40535394981
1575,238391.91575932258
1576,235975.95184466202
1577,192769.9797609868
1578,153758.18150226868
1579,136528.78195430324
1580,196420.71721853636
1581,166953.98241698163
1582,133229.03610103263
1583,281076.8503321711
1584,230107.68199500945
1585,148133.18240486502
1586,49108.18180011706
1587,111503.74413379325
1588,162750.78724077911
1589,111860.20404302797
1590,135016.94889848033
1591,86623.87422499694
1592,126707.58894659359
1593,142677.5069092502
1594,139874.95506629953
1595,124887.50932281603
1596,214032.87718823744
1597,188324.42181484547
1598,205535.26174827554
1599,199996.76048667467
1600,181876.9500098974
1601,33768.57768087549
1602,122641.56946450663
1603,88764.67131171876
1604,277047.4979902096
1605,254641.40804388924
1606,152804.8105573422
1607,174060.81031425518
1608,227942.87830844638
1609,186566.33283727788
1610,146281.46521038958
1611,139386.11840648938
1612,188312.42989426947
1613,166199.74997577595
1614,145247.24985110492
